Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS
8/25/17,Duke,L,5,66,28,179,0.212,64,5,13,6,84,4,24,1,16,2,87
8/26/17,Central Florida,W,4,56,18,126,0.302,52,7,10,7,49,1,14,2,8,3,71
8/29/17,Northern Colorado,W,3,39,8,77,0.403,38,5,12,4,29,2,10,1,7,0,51
9/1/17,vs TCU,W,5,62,20,149,0.282,59,6,10,7,65,4,30,4,19,2,87
9/1/17,vs UNC Asheville,W,3,41,7,80,0.425,39,8,8,5,28,0,18,2,9,0,58
9/2/17,at Florida State,W,3,48,12,95,0.379,45,6,4,1,42,3,10,4,8,0,62
9/8/17,Ball State,W,4,59,24,145,0.241,56,6,8,3,44,3,19,2,12.5,1,77.5
9/8/17,Michigan,W,3,48,8,101,0.396,46,3,6,4,37,1,6,0,4,0,55
9/10/17,Idaho State,W,3,46,11,92,0.38,46,4,3,4,48,1,22,1,12,1,62
9/15/17,UAlbany,W,3,41,7,73,0.466,36,5,5,1,30,1,16,1,9,2,55
9/16/17,Xavier,W,3,49,10,84,0.464,47,2,3,0,43,1,10,1,6,1,57
9/16/17,Colorado,L,5,55,23,159,0.201,52,7,5,9,70,1,12,3,7,0,69
9/21/17,New Mexico,W,3,50,18,95,0.337,48,5,8,1,31,1,12,2,7,0,62
9/23/17,UNLV,W,3,44,10,80,0.425,41,5,12,4,30,1,20,3,11,0,60
9/26/17,at Wyoming,W,3,41,14,91,0.297,38,4,4,2,39,0,16,1,8,0,53
9/30/17,at Air Force,W,3,35,15,101,0.198,32,4,11,1,37,1,20,2,11,2,50
10/5/17,at Boise State,W,5,62,31,159,0.195,60,5,10,6,60,4,18,4,13,0,80
10/7/17,at Utah State,W,3,47,13,111,0.306,43,4,6,5,39,3,26,2,16,0,67
10/12/17,San Jose State,W,3,40,8,80,0.4,38,3,4,6,38,2,12,0,8,0,51
10/14/17,Nevada,W,3,38,14,92,0.261,36,8,5,5,40,3,13,0,9.5,0,55.5
10/19/17,at UNLV,W,3,47,12,91,0.385,44,4,9,2,38,3,14,1,10,0,61
10/21/17,at New Mexico,W,5,69,19,173,0.289,63,9,17,2,56,1,28,2,15,1,93
10/24/17,Wyoming,W,4,57,16,131,0.313,53,9,6,3,59,3,24,2,15,0,81
