"Genre","Parent","MyCount","PopCount"
"Rock","Top",1062,680297
"Jazz","Top",82,85608
"Ambient","Top",32,54523
"Blues","Top",18,19499
"Classical Music","Top",83,89247
"Comedy","Other",2,12686
"Country","Top",75,45278
"Dance","Top",39,214422
"Electronic","Top",96,321367
"Experimental","Top",28,92878
"Field Recordings","Other",1,5383
"Folk","Top",81,115819
"Hip Hop","Top",24,131911
"Industrial Music","Other",20,53318
"New Age","Top",3,8263
"Pop","Top",243,334591
"Psychedelia","Other",109,51272
"Punk","Top",154,169732
"R&B","Top",33,79444
"Regional Music","Top",47,112176
"Singer/Songwriter","Other",130,40840
"Ska","Top",4,5397
"Sounds and Effects","Other",1,535
"Spoken Word","Other",2,13694
"Acoustic Rock","Rock",19,6747
"Afro-Rock","Rock",1,99
"Alternative Rock","Rock",321,119305
"Andean Rock","Rock",1,156
"AOR","Rock",3,10047
"Art Punk","Rock",8,3184
"Art Rock","Rock",40,9782
"Blues Rock","Rock",25,15624
"British Rhythm & Blues","Rock",1,940
"Christian Rock","Rock",2,2517
"Comedy Rock","Rock",1,2448
"Country Rock","Rock",54,5688
"Dark Cabaret","Rock",1,1046
"Deutschrock","Rock",1,1259
"Emo","Rock",15,17946
"Experimental Rock","Rock",32,20348
"Folk Rock","Rock",119,16413
"Funk Rock","Rock",3,3495
"Garage Rock","Rock",9,19740
"Glam Rock","Rock",5,3623
"Hardcore [Punk]","Rock",48,82879
"Hard Rock","Rock",114,49325
"Heartland Rock","Rock",34,1399
"Industrial Rock","Rock",13,4419
"Jam Band","Rock",72,4291
"Jazz-Rock","Rock",4,6531
"Latin Rock","Rock",1,906
"Math Rock","Rock",4,4498
"Metal","Rock",90,217985
"Mod","Rock",2,1744
"New Wave","Rock",28,17094
"Noise Rock","Rock",23,13820
"Pop Rock","Rock",165,97605
"Post-Punk","Rock",51,36281
"Post-Rock","Rock",26,16649
"Progressive Rock","Rock",58,36864
"Proto-Punk","Rock",7,1004
"Psychedelic Rock","Rock",91,28129
"Pub Rock","Rock",1,1017
"Punk Rock","Rock",56,98802
"Rap Rock","Rock",1,2910
"Rock & Roll","Rock",5,13094
"Rock Opera","Rock",3,889
"Rock urbano español","Rock",1,733
"Roots Rock","Rock",22,2959
"Southern Rock","Rock",1,3351
"Sufi Rock","Rock",1,34
"Surf Music","Rock",11,3914
"Symphonic Rock","Rock",1,1466
"Visual kei","Rock",1,2571
"Zamrock","Rock",1,97
"Zolo","Rock",3,1278
"Afro-Jazz","Jazz",1,604
"Arabic Jazz","Jazz",1,205
"Avant-Garde Jazz","Jazz",18,15410
"Bebop","Jazz",14,3789
"Big Band","Jazz",3,5478
"British Dance Band","Jazz",1,1897
"Bulawayo Jazz","Jazz",1,12
"Cape Jazz","Jazz",1,102
"Cartoon Music","Jazz",1,147
"Chamber Jazz","Jazz",2,1251
"Cool Jazz","Jazz",4,2031
"Dark Jazz","Jazz",1,521
"Dixieland","Jazz",2,1762
"ECM Style Jazz","Jazz",1,1067
"Ethio-Jazz","Jazz",1,282
"Flamenco Jazz","Jazz",1,123
"Jazz-Funk","Jazz",2,3967
"Jazz Fusion","Jazz",10,11662
"Jazz manouche","Jazz",1,865
"Jazz Poetry","Jazz",1,187
"Latin Jazz","Jazz",1,2257
"Marabi","Jazz",2,321
"Modal Jazz","Jazz",7,646
"New Orleans Brass Band","Jazz",1,160
"Post-Bop","Jazz",10,2765
"Samba-Jazz","Jazz",1,736
"Smooth Jazz","Jazz",2,2959
"Soul Jazz","Jazz",2,2889
"Stride","Jazz",2,251
"Swing","Jazz",5,4012
"Third Stream","Jazz",6,778
"Vocal Jazz","Jazz",5,9536
"Ambient Dub","Ambient",1,1417
"Dark Ambient","Ambient",2,15596
"Space Ambient","Ambient",2,2291
"Tribal Ambient","Ambient",1,1874
"Acoustic Blues","Blues",4,4569
"Boogie Woogie","Blues",2,469
"Electric Blues","Blues",5,5564
"Hill Country Blues","Blues",1,218
"Jump Blues","Blues",2,674
"New Orleans Blues","Blues",1,264
"Piano Blues","Blues",3,1106
"Soul Blues","Blues",2,225
"Vaudeville Blues","Blues",1,543
"Arabic Classical Music","Classical Music",1,454
"East Asian Classical Music","Classical Music",2,1081
"Guoyue","Classical Music",1,68
"Persian Classical Music","Classical Music",2,594
"Pibroch","Classical Music",1,53
"Shashmaqam","Classical Music",1,31
"South Asian Classical Music","Classical Music",3,2459
"Southeast Asian Classical Music","Classical Music",2,1037
"Turkish Classical Music","Classical Music",1,291
"Western Classical Music","Classical Music",72,82670
"Dutch Cabaret","Comedy",0,537
"Kabarett","Comedy",0,123
"Musical Comedy","Comedy",2,6311
"Prank Calls","Comedy",0,312
"Sketch Comedy","Comedy",0,398
"Stand-Up Comedy","Comedy",0,2628
"Alt-Country","Country",25,6181
"Americana","Country",36,5948
"Contemporary Country","Country",2,4543
"Country & Irish","Country",1,152
"Country Pop","Country",3,6646
"Honky Tonk","Country",2,1587
"Progressive Country","Country",9,2627
"Traditional Country","Country",7,8238
"Western Swing","Country",1,759
"Alternative Dance","Dance",7,4222
"Dance-Pop","Dance",6,25817
"Dance-Punk","Dance",4,2552
"Disco","Dance",4,25540
"Electronic Dance Music","Dance",20,182281
"Acid Croft","Electronic",0,101
"Algorave","Electronic",0,31
"Ambient Dub","Electronic",1,1417
"Bit Music","Electronic",2,6083
"Bitpop","Electronic",0,901
"Downtempo","Electronic",3,14012
"Dungeon Synth","Electronic",0,5159
"Electroacoustic","Electronic",5,10300
"Electro-Industrial","Electronic",3,5101
"Electronic Dance Music","Electronic",20,182281
"Electropop","Electronic",4,20155
"Flashcore","Electronic",0,236
"Folktronica","Electronic",0,2104
"Glitch","Electronic",3,4509
"Glitch Hop","Electronic",1,2256
"Glitch Pop","Electronic",1,1892
"Grime","Electronic",0,7521
"HexD","Electronic",0,515
"Horror Synth","Electronic",0,962
"Hyperpop","Electronic",0,728
"IDM","Electronic",9,10955
"Illbient","Electronic",0,527
"Indietronica","Electronic",4,10749
"Latin Electronic","Electronic",0,1327
"Microsound","Electronic",2,272
"Minatory","Electronic",0,91
"Minimal Wave","Electronic",1,7918
"Nightcore","Electronic",0,1222
"Nu Jazz","Electronic",1,2728
"Progressive Electronic","Electronic",6,10348
"Psybient","Electronic",0,859
"Synthpop","Electronic",26,29724
"Synth Punk","Electronic",2,2345
"Synthwave","Electronic",1,6595
"Vapor","Electronic",1,9122
"Wave","Electronic",0,632
"Witch House","Electronic",0,1204
"Conducted Improvisation","Experimental",0,64
"Drone","Experimental",8,19002
"Electroacoustic","Experimental",5,10300
"Free Improvisation","Experimental",1,13105
"Futurism","Experimental",1,92
"Glitch","Experimental",3,4509
"Indeterminacy","Experimental",1,733
"Industrial","Experimental",3,13269
"Noise","Experimental",3,27918
"Plunderphonics","Experimental",1,4109
"Reductionism","Experimental",0,1414
"Sound Art","Experimental",0,589
"Sound Collage","Experimental",2,5387
"Sound Poetry","Experimental",0,395
"Tape Music","Experimental",5,1873
"Turntable Music","Experimental",0,451
"Nature Recordings","Field Recordings",0,1172
"Radio Broadcast Recordings","Field Recordings",0,209
"Contemporary Folk","Folk",58,54144
"Traditional Folk Music","Folk",25,65012
"Abstract Hip Hop","Hip Hop",1,5545
"Afroswing","Hip Hop",0,109
"Afro Trap","Hip Hop",0,123
"Arabesque Rap","Hip Hop",0,27
"Bongo Flava","Hip Hop",0,60
"Bounce","Hip Hop",0,397
"Chopped and Screwed","Hip Hop",0,1601
"Christian Hip Hop","Hip Hop",0,768
"Cloud Rap","Hip Hop",2,11457
"Comedy Rap","Hip Hop",1,2307
"Conscious Hip Hop","Hip Hop",6,5437
"Country Rap","Hip Hop",0,197
"Crunk","Hip Hop",0,1007
"Dirty South","Hip Hop",0,945
"Disco Rap","Hip Hop",0,660
"East Coast Hip Hop","Hip Hop",3,14464
"Emo Rap","Hip Hop",1,3780
"Experimental Hip Hop","Hip Hop",4,9971
"French Hip Hop","Hip Hop",1,4919
"Genge","Hip Hop",0,7
"G-Funk","Hip Hop",2,1090
"Hardcore Hip Hop","Hip Hop",6,25250
"Hiplife","Hip Hop",0,43
"Hyphy","Hip Hop",0,889
"Instrumental Hip Hop","Hip Hop",1,12422
"Japanese Hip Hop","Hip Hop",0,1364
"Jazz Rap","Hip Hop",3,2830
"Jook","Hip Hop",0,132
"Latin Rap","Hip Hop",0,917
"Miami Bass","Hip Hop",0,919
"Mobb Music","Hip Hop",0,316
"Nerdcore","Hip Hop",1,426
"Political Hip Hop","Hip Hop",0,1393
"Pop Rap","Hip Hop",4,17995
"Snap","Hip Hop",0,232
"Southern Hip Hop","Hip Hop",3,14551
"Trap","Hip Hop",3,32334
"Turntablism","Hip Hop",0,763
"UK Hip Hop","Hip Hop",1,4931
"West Coast Hip Hop","Hip Hop",6,11251
"Industrial","Industrial Music",3,13269
"Post-Industrial","Industrial Music",19,44309
"Andean New Age","New Age",0,85
"Celtic New Age","New Age",2,305
"Neoclassical New Age","New Age",1,816
"Adult Contemporary","Pop",1,5987
"Ambient Pop","Pop",3,5167
"Arabic Pop","Pop",0,791
"Art Pop","Pop",9,17618
"Balkan Pop-Folk","Pop",0,1662
"Baroque Pop","Pop",8,4211
"Bitpop","Pop",0,901
"Blue-Eyed Soul","Pop",2,2898
"Boy Band","Pop",0,1487
"Brill Building","Pop",0,619
"Bubblegum","Pop",0,2162
"Cambodian Pop","Pop",0,110
"CCM","Pop",0,3154
"City Pop","Pop",0,1792
"Classical Crossover","Pop",0,1997
"Country Pop","Pop",3,6646
"C-Pop","Pop",0,5015
"Dance-Pop","Pop",6,25817
"Dangdut","Pop",0,137
"Dansbandsmusik","Pop",0,605
"Dansktop","Pop",0,115
"Easy Listening","Pop",0,9643
"Electropop","Pop",4,20155
"Europop","Pop",0,2076
"Flamenco Pop","Pop",0,813
"Folk Pop","Pop",3,9672
"French Pop","Pop",1,4874
"Girl Group","Pop",0,1732
"Glitch Pop","Pop",1,1892
"Hyperpop","Pop",0,728
"Indian Pop","Pop",0,374
"Indie Pop","Pop",12,41239
"Irish Showband","Pop",0,30
"Italo Pop","Pop",0,1276
"Jazz Pop","Pop",0,3432
"J-Pop","Pop",2,16703
"K-Pop","Pop",2,5831
"Latin Pop","Pop",0,2660
"Lokal musik","Pop",0,16
"Nederpop","Pop",0,979
"New Music","Pop",0,210
"New Romantic","Pop",3,1009
"Palingsound","Pop",0,213
"Persian Pop","Pop",0,367
"Pop Ghazal","Pop",0,24
"Pop Raï","Pop",0,170
"Pop Rock","Pop",165,97605
"Pop Soul","Pop",2,8188
"Pop Sunda","Pop",0,43
"Progressive Pop","Pop",4,4208
"Psychedelic Pop","Pop",14,9566
"Rabiz","Pop",0,58
"Rigsar","Pop",0,2
"Rumba catalana","Pop",0,402
"Russian Chanson","Pop",0,488
"Schlager","Pop",0,12344
"Sertanejo romântico","Pop",0,278
"Sertanejo universitário","Pop",0,301
"Shibuya-kei","Pop",0,1239
"Sophisti-Pop","Pop",0,3226
"Soviet Estrada","Pop",0,1288
"Sunshine Pop","Pop",9,2474
"Synthpop","Pop",26,29724
"Teen Pop","Pop",0,3207
"Traditional Pop","Pop",3,10284
"Turkish Pop","Pop",0,1908
"V-Pop","Pop",0,377
"Yé-yé","Pop",0,820
"Neo-Psychedelia","Psychedelia",3,12010
"Psychedelic Folk","Psychedelia",5,7860
"Psychedelic Pop","Psychedelia",14,9566
"Psychedelic Rock","Psychedelia",91,28129
"Psychedelic Soul","Psychedelia",3,1208
"Art Punk","Punk",8,3184
"Digital Hardcore","Punk",1,672
"Emo","Punk",15,17946
"Hardcore [Punk]","Punk",48,82879
"Post-Punk","Punk",51,36281
"Proto-Punk","Punk",7,1004
"Punk Rock","Punk",56,98802
"Synth Punk","Punk",2,2345
"Boogie","R&B",0,2767
"Contemporary R&B","R&B",7,24794
"Doo-Wop","R&B",0,2724
"Funk","R&B",14,20114
"New Orleans R&B","R&B",2,898
"Rhythm & Blues","R&B",3,8282
"Soul","R&B",12,32430
"African Music","Regional Music",13,14340
"Ancient Music","Regional Music",0,220
"Arabic Music","Regional Music",2,3976
"Balkan Music","Regional Music",0,4979
"Brazilian Music","Regional Music",2,14512
"Caribbean Music","Regional Music",8,28249
"Caucasian Music","Regional Music",0,266
"Chanson","Regional Music",1,13169
"Christian Liturgical Music","Regional Music",3,2335
"East Asian Music","Regional Music",3,4634
"Ghazal","Regional Music",0,121
"Greek Music","Regional Music",1,1948
"Hispanic Music","Regional Music",7,37032
"Islamic Modal Music","Regional Music",5,1801
"Islamic Religious Music & Recitation","Regional Music",0,190
"Jewish Music","Regional Music",0,1726
"Melanesian Music","Regional Music",0,100
"Polynesian Music","Regional Music",0,1092
"Polyphonic Chant","Regional Music",1,1063
"Portuguese Music","Regional Music",0,1896
"Prehistoric Music","Regional Music",0,25
"Romanian Music","Regional Music",0,501
"Russian Music","Regional Music",0,1723
"Seychelles & Mascarene Islands Music","Regional Music",0,195
"South Asian Music","Regional Music",3,6009
"Southeast Asian Music","Regional Music",2,3442
"Tibetan Traditional Music","Regional Music",0,231
"Turkic-Mongolic Traditional Music","Regional Music",0,602
"West Asian Music","Regional Music",3,6599
"Zohioliin duu","Regional Music",0,2
"Bard Music","Singer/Songwriter",0,571
"Canzone d'autore","Singer/Songwriter",0,532
"Chanson à texte","Singer/Songwriter",0,724
"Liedermacher","Singer/Songwriter",0,864
"Música de intervenção","Singer/Songwriter",0,142
"Nueva canción","Singer/Songwriter",1,1608
"Poezja śpiewana","Singer/Songwriter",0,526
"2 Tone","Ska",1,580
"Jamaican Ska","Ska",0,728
"Spouge","Ska",0,22
"Third Wave Ska","Ska",3,2214
"Fairy Tales","Spoken Word",0,314
"Interview","Spoken Word",0,1155
"Lectures","Spoken Word",0,185
"Poetry","Spoken Word",2,2967
