"","x"
"1","2002"
"2","1958"
"3","1976"
"4","2016"
"5","1967"
"6","1954"
"7","2020"
"8","1972"
"9","1975"
"10","1963"
"11","2022"
"12","1968"
"13","2018"
"14","1961"
"15","2007"
"16","2005"
"17","1978"
"18","1976"
"19","1962"
"20","1998"
"21","1972"
"22","2008"
"23","2000"
"24","1971"
"25","1971"
"26","1970"
"27","1963"
"28","2002"
"29","2006"
"30","2014"
"31","1996"
"32","2017"
"33","2020"
"34","1996"
"35","2012"
"36","2006"
"37","2000"
"38","2003"
"39","2013"
"40","1998"
"41","2003"
"42","2008"
"43","2002"
"44","1996"
"45","1993"
"46","1999"
"47","1993"
"48","1970"
"49","1999"
"50","2004"
"51","1971"
"52","2010"
"53","2020"
"54","1995"
"55","1992"
"56","1968"
"57","1954"
"58","1959"
"59","1960"
"60","2018"
"61","1971"
"62","2020"
"63","1999"
"64","1994"
"65","1965"
"66","2020"
"67","1994"
"68","1993"
"69","1994"
"70","2005"
"71","1964"
"72","1980"
"73","2022"
"74","1990"
"75","1990"
"76","1989"
"77","1997"
"78","1968"
"79","1967"
"80","2021"
"81","2009"
"82","2008"
"83","1988"
"84","1982"
"85","1988"
"86","2000"
"87","1969"
"88","1996"
"89","1995"
"90","1992"
"91","1968"
"92","1990"
"93","1985"
"94","1993"
"95","1957"
"96","1998"
"97","1981"
"98","1980"
"99","1981"
"100","1982"
"101","1982"
"102","1981"
"103","1981"
"104","1981"
"105","1981"
"106","1982"
"107","1974"
"108","2004"
"109","2004"
"110","2010"
"111","2019"
"112","1956"
"113","1958"
"114","1986"
"115","1962"
"116","2017"
"117","1995"
"118","1962"
"119","1992"
"120","1959"
"121","1978"
"122","1962"
"123","1966"
"124","1961"
"125","1969"
"126","1966"
"127","1979"
"128","1959"
"129","1968"
"130","1968"
"131","1965"
"132","1977"
"133","1962"
"134","1975"
"135","1976"
"136","2017"
"137","1977"
"138","1969"
"139","1968"
"140","1974"
"141","1965"
"142","1963"
"143","1966"
"144","1964"
"145","1967"
"146","1963"
"147","1974"
"148","1976"
"149","1974"
"150","1974"
"151","1968"
"152","1958"
"153","1944"
"154","1957"
"155","1973"
"156","1966"
"157","1983"
"158","1975"
"159","1975"
"160","1988"
"161","1985"
"162","1985"
"163","1985"
"164","1986"
"165","1983"
"166","1984"
"167","1986"
"168","1986"
"169","1986"
"170","2002"
"171","1983"
"172","1986"
"173","1986"
"174","1971"
"175","1983"
"176","1987"
"177","1985"
"178","2019"
"179","2009"
"180","1974"
"181","2001"
"182","2020"
"183","2005"
"184","2016"
"185","1972"
"186","1965"
"187","1956"
"188","2020"
"189","1989"
"190","1959"
"191","1977"
"192","1960"
"193","1968"
"194","1979"
"195","1968"
"196","2016"
"197","1951"
"198","1955"
"199","1955"
"200","1954"
"201","1954"
"202","1955"
"203","1954"
"204","1953"
"205","1953"
"206","1951"
"207","1951"
"208","1971"
"209","1967"
"210","2018"
"211","1995"
"212","1994"
"213","1974"
"214","1973"
"215","1976"
"216","1977"
"217","2002"
"218","1984"
"219","1965"
"220","2009"
"221","2003"
"222","2009"
"223","2006"
"224","2004"
"225","2016"
"226","2014"
"227","2002"
"228","2000"
"229","2004"
"230","1999"
"231","1999"
"232","1970"
"233","2006"
"234","2010"
"235","1997"
"236","1996"
"237","2011"
"238","1963"
"239","2015"
"240","2012"
"241","1993"
"242","2000"
"243","1996"
"244","2001"
"245","2002"
"246","1998"
"247","1994"
"248","1997"
"249","1991"
"250","2015"
"251","2017"
"252","2012"
"253","2002"
"254","1988"
"255","2014"
"256","2020"
"257","1995"
"258","1986"
"259","2005"
"260","2003"
"261","2005"
"262","1999"
"263","2001"
"264","2021"
"265","2003"
"266","2001"
"267","1997"
"268","1996"
"269","2008"
"270","2003"
"271","2018"
"272","1964"
"273","1965"
"274","1967"
"275","1974"
"276","2006"
"277","2004"
"278","1966"
"279","2021"
"280","2004"
"281","1990"
"282","2007"
"283","2000"
"284","1992"
"285","2000"
"286","1965"
"287","1965"
"288","1970"
"289","1964"
"290","2005"
"291","2010"
"292","2008"
"293","2020"
"294","2021"
"295","2008"
"296","2008"
"297","1996"
"298","2013"
"299","2013"
"300","1994"
"301","2006"
"302","2001"
"303","2015"
"304","1998"
"305","2010"
"306","2021"
"307","2006"
"308","2012"
"309","2020"
"310","2012"
"311","1998"
"312","2005"
"313","2000"
"314","1999"
"315","2006"
"316","2016"
"317","1990"
"318","1978"
"319","1974"
"320","1992"
"321","1990"
"322","1970"
"323","1971"
"324","2015"
"325","2021"
"326","2019"
"327","2010"
"328","2005"
"329","1975"
"330","1993"
"331","1992"
"332","1988"
"333","2020"
"334","2021"
"335","1992"
"336","1979"
"337","1985"
"338","1973"
"339","1992"
"340","1975"
"341","1975"
"342","1974"
"343","1972"
"344","1970"
"345","1969"
"346","1968"
"347","1967"
"348","1966"
"349","1973"
"350","1970"
"351","1966"
"352","1970"
"353","1991"
"354","2001"
"355","1995"
"356","1993"
"357","1993"
"358","1991"
"359","1993"
"360","1985"
"361","1982"
"362","1980"
"363","1979"
"364","1978"
"365","2021"
"366","2013"
"367","2002"
"368","2015"
"369","1977"
"370","1981"
"371","1976"
"372","1977"
"373","1965"
"374","1975"
"375","2017"
"376","2018"
"377","2007"
"378","1983"
"379","1978"
"380","2020"
"381","2020"
"382","2020"
"383","2019"
"384","2021"
"385","1988"
"386","2002"
"387","1997"
"388","2001"
"389","1995"
"390","2010"
"391","2019"
"392","2018"
"393","1993"
"394","1993"
"395","1987"
"396","1986"
"397","1984"
"398","1979"
"399","1972"
"400","1974"
"401","1974"
"402","1973"
"403","1973"
"404","1967"
"405","1999"
"406","2003"
"407","1997"
"408","2010"
"409","2017"
"410","1999"
"411","1992"
"412","2000"
"413","1998"
"414","1997"
"415","2020"
"416","1972"
"417","1970"
"418","2018"
"419","2016"
"420","1996"
"421","2003"
"422","1972"
"423","2000"
"424","1974"
"425","1993"
"426","2000"
"427","2007"
"428","2019"
"429","2019"
"430","1971"
"431","1976"
"432","1984"
"433","2003"
"434","2004"
"435","1972"
"436","1998"
"437","1963"
"438","1973"
"439","1973"
"440","1976"
"441","2006"
"442","2005"
"443","2019"
"444","1976"
"445","2002"
"446","1996"
"447","1998"
"448","2021"
"449","1999"
"450","1997"
"451","1962"
"452","1963"
"453","2013"
"454","2006"
"455","1962"
"456","2008"
"457","2012"
"458","2006"
"459","2017"
"460","2001"
"461","1997"
"462","1978"
"463","2014"
"464","1987"
"465","1988"
"466","1966"
"467","2005"
"468","2003"
"469","2006"
"470","1968"
"471","1967"
"472","1970"
"473","1968"
"474","2014"
"475","2002"
"476",NA
"477","1993"
"478","1988"
"479","1987"
"480","2014"
"481","1999"
"482","1993"
"483","2003"
"484","2001"
"485","1999"
"486","2020"
"487","1994"
"488","2017"
"489","1972"
"490","1994"
"491","1970"
"492","1976"
"493","2014"
"494","1974"
"495","1983"
"496","1994"
"497","1991"
"498","2001"
"499","2011"
"500","2007"
"501","2004"
"502","2002"
"503","1995"
"504","2016"
"505","1989"
"506","1980"
"507","1967"
"508","1971"
"509","1985"
"510","1959"
"511","1977"
"512","2006"
"513","1976"
"514","1977"
"515","2003"
"516","2015"
"517","1979"
"518","1979"
"519","2018"
"520","2019"
"521","1985"
"522","1990"
"523","2019"
"524","2016"
"525","2019"
"526","2017"
"527","2018"
"528","1998"
"529","1996"
"530","2011"
"531","1997"
"532","2020"
"533","1987"
"534","1997"
"535","2007"
"536","2007"
"537","1971"
"538","2019"
"539","2008"
"540","1981"
"541","1997"
"542","1987"
"543","1995"
"544","1996"
"545","1964"
"546","2020"
"547","1969"
"548","1976"
"549","1994"
"550","1970"
"551","1971"
"552","1970"
"553","1979"
"554","2020"
"555","1961"
"556","2020"
"557","2015"
"558","2019"
"559","1984"
"560","1998"
"561","1997"
"562","2001"
"563","1999"
"564","1977"
"565","1970"
"566","1982"
"567","1989"
"568","2006"
"569","1972"
"570","1987"
"571","2018"
"572","1999"
"573","2019"
"574","2007"
"575","1982"
"576","2018"
"577","2020"
"578","2020"
"579","2016"
"580","2007"
"581","1972"
"582","2004"
"583","2005"
"584","2001"
"585","1967"
"586","2014"
"587","1995"
"588","2011"
"589","1973"
"590","1982"
"591","1984"
"592","2010"
"593","2019"
"594","1995"
"595","2001"
"596","1998"
"597","1995"
"598","2012"
"599","1971"
"600","1967"
"601","1980"
"602","2007"
"603","1989"
"604","1978"
"605","1990"
"606","1995"
"607","1989"
"608","2003"
"609","2003"
"610","2002"
"611","1983"
"612","1994"
"613","2000"
"614","1982"
"615","1993"
"616","2004"
"617","2002"
"618","2010"
"619","2009"
"620","1999"
"621","2017"
"622","1983"
"623","1982"
"624","1981"
"625","1977"
"626","1989"
"627","2010"
"628","1975"
"629","1976"
"630","1979"
"631","2006"
"632","2010"
"633","2003"
"634","1990"
"635","1981"
"636","1981"
"637","1995"
"638","1973"
"639","2003"
"640","2019"
"641","1980"
"642","1985"
"643","1977"
"644","2021"
"645","2021"
"646","2001"
"647","2020"
